dataset_id,chroncontrolid,depth,thickness,chroncontrolage,agelimitolder,agelimityounger,chroncontroltype,fulfil_criteria,include
1138,95750,31.5,1,84.2,94.64,73.76,Interpolated,TRUE,TRUE
1138,95751,32.5,1,92.1,101.32,82.88,Lead-210,TRUE,TRUE
1138,95752,33.5,1,99.9,109.9,89.9,Lead-210,TRUE,TRUE
1138,95753,34.5,1,106.5,125.18,87.82,Extrapolated,TRUE,TRUE
1138,95755,36.5,1,119.8,169.8,69.8,Extrapolated,TRUE,TRUE
14997,32073,10,1,98.2,130.51024624,65.88975376,Lead-210,TRUE,TRUE
15003,32119,56,1,84.2,102.015237156,66.384762844,Lead-210,TRUE,TRUE
15007,32149,26,1,88.3,90.040521218,86.559478782,Lead-210,TRUE,TRUE
15009,32162,44,1,93.6,172.09884926,15.10115074,Lead-210,TRUE,TRUE
15020,32187,28,1,88.6,95.843088958,81.356911042,Lead-210,TRUE,TRUE
1568,40949,25,1,102.3,148.67,55.93,Lead-210,TRUE,TRUE
1725,96060,7.75,0.5,84.2,89.33,79.07,Lead-210,TRUE,TRUE
1725,96061,8.25,0.5,91.2,96.82,85.58,Lead-210,TRUE,TRUE
1725,96062,8.75,0.5,97.8,103.7,91.9,Lead-210,TRUE,TRUE
1725,96064,9.75,0.5,109.5,116.39,102.61,Interpolated,TRUE,TRUE
1725,96065,10.25,0.5,114.4,120.8,108,Lead-210,TRUE,TRUE
1725,96066,10.75,0.5,118.3,126.04,110.56,Lead-210,TRUE,TRUE
205,95548,24.25,0.5,80.1,84.85,75.35,Lead-210,TRUE,TRUE
205,95549,24.75,0.5,82.4,87.42,77.38,Lead-210,TRUE,TRUE
205,95550,25.25,0.5,84.5,89.82,79.18,Interpolated,TRUE,TRUE
205,95551,25.75,0.5,86.7,92.31,81.09,Interpolated,TRUE,TRUE
205,95552,26.25,0.5,88.8,94.7,82.9,Interpolated,TRUE,TRUE
205,95554,27.25,0.5,93.1,99.59,86.61,Interpolated,TRUE,TRUE
205,95555,27.75,0.5,95.2,101.98,88.42,Interpolated,TRUE,TRUE
205,95556,28.25,0.5,97.1,104.17,90.03,Lead-210,TRUE,TRUE
205,95557,28.75,0.5,98.9,106.19,91.61,Lead-210,TRUE,TRUE
205,95558,29.25,0.5,100.8,108.27,93.33,Interpolated,TRUE,TRUE
205,95559,29.75,0.5,102.6,110.24,94.96,Interpolated,TRUE,TRUE
205,95560,30.5,1,105.4,113.22,97.58,Interpolated,TRUE,TRUE
205,95561,31.5,1,109.1,117.09,101.11,Interpolated,TRUE,TRUE
205,95562,32.5,1,112.9,121.01,104.79,Lead-210,TRUE,TRUE
20616,78180,21,1,89.2,104.15,74.25,Lead-210,TRUE,TRUE
20836,41911,35.48,1.06,82.62,104.62,60.62,Lead-210,TRUE,TRUE
20836,41912,36.54,1.06,91.03,116.03,66.03,Lead-210,TRUE,TRUE
20836,41913,37.6,1.06,97.57,124.57,70.57,Lead-210,TRUE,TRUE
20872,105395,15,0.5,112.6,136.4,88.8,Lead-210,TRUE,TRUE
22244,46977,40,NA,85.2,92.2,78.2,Lead-210,TRUE,TRUE
22244,46978,46,NA,109.5,122.5,96.5,Lead-210,TRUE,TRUE
313,95606,15.25,0.5,88.3,101.16,75.44,Interpolated,TRUE,TRUE
313,95607,15.75,0.5,96.4,110.78,82.02,Interpolated,TRUE,TRUE
313,95608,16.25,0.5,104.6,121.25,87.95,Lead-210,TRUE,TRUE
333,95318,21.25,0.5,82.5,92.28,72.72,Lead-210,TRUE,TRUE
333,95319,21.75,0.5,85.1,95.18,75.02,Lead-210,TRUE,TRUE
333,95321,22.75,0.5,89.1,99.78,78.42,Lead-210,TRUE,TRUE
333,95324,24.25,0.5,95.2,106.81,83.59,Lead-210,TRUE,TRUE
333,95325,24.75,0.5,97.5,109.42,85.58,Lead-210,TRUE,TRUE
333,95326,25.25,0.5,99.3,111.49,87.11,Lead-210,TRUE,TRUE
333,95328,26.25,0.5,102.7,115.43,89.97,Lead-210,TRUE,TRUE
333,95329,26.75,0.5,104.5,117.49,91.51,Lead-210,TRUE,TRUE
333,95330,27.25,0.5,106.5,119.76,93.24,Lead-210,TRUE,TRUE
333,95331,27.75,0.5,108.5,122.03,94.97,Lead-210,TRUE,TRUE
333,95332,28.25,0.5,110.1,123.87,96.33,Lead-210,TRUE,TRUE
333,95333,28.75,0.5,111.3,124.79,97.81,Lead-210,TRUE,TRUE
333,95334,29.25,0.5,112.7,125.42,99.98,Lead-210,TRUE,TRUE
333,95337,31.5,1,119.3,129.72,108.88,Lead-210,TRUE,TRUE
3485,96429,6.25,0.5,85.5,93.04,77.96,Lead-210,TRUE,TRUE
3485,96430,6.75,0.5,94.4,103.41,85.39,Lead-210,TRUE,TRUE
3485,96431,7.25,0.5,103.4,114.55,92.25,Interpolated,TRUE,TRUE
3485,96432,7.75,0.5,112.8,126.09,99.51,Interpolated,TRUE,TRUE
3486,96493,8.25,0.5,83.9,89.97,77.83,Lead-210,TRUE,TRUE
3486,96494,8.75,0.5,90.7,97.1,84.3,Lead-210,TRUE,TRUE
3486,96496,9.75,0.5,104.9,112.91,96.89,Interpolated,TRUE,TRUE
3486,96497,10.25,0.5,112.5,120.38,104.62,Lead-210,TRUE,TRUE
3486,96498,10.75,0.5,118.9,139.8,98,Lead-210,TRUE,TRUE
39749,65383,21.75,0.5,83.2,93.05,73.35,Interpolated,TRUE,TRUE
39749,65384,22.25,0.5,86.6,96.9,76.3,Interpolated,TRUE,TRUE
39749,65385,22.75,0.5,89.9,100.65,79.15,Interpolated,TRUE,TRUE
39749,65386,23.25,0.5,93.2,104.4,82,Interpolated,TRUE,TRUE
39749,65387,23.75,0.5,96.9,108.8,85,Lead-210,TRUE,TRUE
39749,65388,24.25,0.5,100.3,113.2,87.4,Lead-210,TRUE,TRUE
39749,65389,24.75,0.5,103.2,117.1,89.3,Interpolated,TRUE,TRUE
39749,65390,25.25,0.5,106.2,121.1,91.3,Interpolated,TRUE,TRUE
39749,65391,25.75,0.5,109.2,125.1,93.3,Interpolated,TRUE,TRUE
39749,65393,26.75,0.5,114.3,131.95,96.65,Lead-210,TRUE,TRUE
39749,65394,27.25,0.5,116.1,134.4,97.8,Lead-210,TRUE,TRUE
39749,65395,27.75,0.5,117.8,136.85,98.75,Interpolated,TRUE,TRUE
39749,65396,28.25,0.5,119.6,139.4,99.8,Interpolated,TRUE,TRUE
46730,101741,9.75,NA,93.26,135.28,51.24,Lead-210,TRUE,TRUE
46730,101742,10.25,NA,106.66,165.25,48.07,Lead-210,TRUE,TRUE
48767,106502,15.5,1,105.24,105.63,104.85,Radiocarbon,TRUE,TRUE
52710,114543,-22.5,NA,85.00885076,90.89,79.78,Lead-210,TRUE,TRUE
52710,114544,-22,NA,95.14796152,101.43,89.56,Lead-210,TRUE,TRUE
52710,114545,-21.75,NA,99.9,100.9,98.9,Lead-210,TRUE,TRUE
52710,114546,-21.5,NA,104.6540719,111.32,98.73,Lead-210,TRUE,TRUE
52710,114547,-21,NA,113.0940765,120.1,106.87,Lead-210,TRUE,TRUE
54004,117485,11.9,4.6,99.9,100.3,99.5,Radiocarbon,TRUE,TRUE
54005,117485,11.9,4.6,99.9,100.3,99.5,Radiocarbon,TRUE,TRUE
