neotoma_names,taxon_name
Abatia,abatia
Abies,abies
Abies alba,abies_alba
Abies balsamea,abies_balsamea
Abies lasiocarpa,abies_lasiocarpa
Abies sibirica,abies_sibirica
Abies sp.,abies_sp
Abies undiff.,abies_undiff
Abronia,abronia
Abronia latifolia,abronia_latifolia
Abrus,abrus
Abuta,abuta
Abutilon,abutilon
Abutilon-type,abutilon_type
Abutilon/Pavonia,abutilon_pavonia
Acacia,acacia
Acacia-type,acacia_type
Acacia-type (type II),acacia_type_type_ii
Acacia-type (type III),acacia_type_type_iii
"Acacia (Acacia vulgaris, Maley 1981)",acacia_acacia_vulgaris_maley_1981
Acacia (group I),acacia_group_i
Acacia (group II),acacia_group_ii
Acacia (group III),acacia_group_iii
Acacia (type I),acacia_type_i
Acacia (type III),acacia_type_iii
Acacia albida,acacia_albida
Acacia ehrenbergiana,acacia_ehrenbergiana
Acacia ehrenbergiana-type,acacia_ehrenbergiana_type
Acacia gerrardii,acacia_gerrardii
Acacia kamerunensis-type,acacia_kamerunensis_type
Acacia karroo,acacia_karroo
Acacia mellifera (smooth),acacia_mellifera_smooth
Acacia nilotica,acacia_nilotica
Acacia polyacantha,acacia_polyacantha
Acacia sp.,acacia_sp
Acacia tortilis var. raddiana,acacia_tortilis_var_raddiana
Acacia/Albizia,acacia_albizia
Acacia/Inga,acacia_inga
Acaena,acaena
Acaena-type,acaena_type
Acaena (blocky),acaena_blocky
Acaena magellanica,acaena_magellanica
Acaena tenera,acaena_tenera
Acalypha,acalypha
Acalypha-type,acalypha_type
Acalypha (4-5 porate),acalypha_4_minus_5_porate
Acalypha (diporate),acalypha_diporate
Acalypha (large),acalypha_large
Acalypha (pentaporate),acalypha_pentaporate
Acalypha (tetraporate),acalypha_tetraporate
Acalypha (triporate),acalypha_triporate
Acalypha (type 2),acalypha_type_2
Acalypha (type I),acalypha_type_i
Acalypha cf. A. crenata,acalypha_cf_a_crenata
Acalypha cf. A. rhomboidea,acalypha_cf_a_rhomboidea
Acalypha ciliata,acalypha_ciliata
Acalypha crenata-type,acalypha_crenata_type
Acalypha sp.,acalypha_sp
Acalypha undiff.,acalypha_undiff
Acanthaceae,acanthaceae
Acanthaceae (diporate),acanthaceae_diporate
Acanthaceae (prolate),acanthaceae_prolate
Acanthaceae (triangular),acanthaceae_triangular
Acanthaceae (tricolporate),acanthaceae_tricolporate
Acanthaceae (type 1) cf. Acanthus,acanthaceae_type_1_cf_acanthus
Acanthaceae undiff.,acanthaceae_undiff
Acantholimon,acantholimon
Acanthophoenix rubra,acanthophoenix_rubra
Acanthus,acanthus
Acanthus-type,acanthus_type
Acanthus polystachius,acanthus_polystachius
Acer,acer
Acer-type,acer_type
Acer campestre,acer_campestre
Acer campestre-type,acer_campestre_type
Acer cf. A. glabrum,acer_cf_a_glabrum
Acer cf. A. negundo,acer_cf_a_negundo
Acer cf. A. pensylvanicum,acer_cf_a_pensylvanicum
Acer circinatum,acer_circinatum
Acer circinatum-type,acer_circinatum_type
Acer glabrum,acer_glabrum
Acer macrophyllum,acer_macrophyllum
Acer macrophyllum-type,acer_macrophyllum_type
Acer negundo,acer_negundo
Acer negundo-type,acer_negundo_type
Acer nigrum,acer_nigrum
Acer pensylvanicum,acer_pensylvanicum
Acer platanoides,acer_platanoides
Acer pseudoplatanus,acer_pseudoplatanus
Acer rubrum,acer_rubrum
Acer rubrum-type,acer_rubrum_type
Acer saccharinum,acer_saccharinum
Acer saccharinum-type,acer_saccharinum_type
Acer saccharum,acer_saccharum
Acer saccharum-type,acer_saccharum_type
Acer saccharum/A. nigrum,acer_saccharum_a_nigrum
Acer sp.,acer_sp
Acer spicatum,acer_spicatum
Acer spicatum-type,acer_spicatum_type
Acer undiff.,acer_undiff
Achatocarpus,achatocarpus
Achillea,achillea
Achillea-type,achillea_type
Achillea erba-rotta subsp. moschata,achillea_erba_minus_rotta_subsp_moschata
Achillea/Anthemis-type,achillea_anthemis_type
Achyranthes,achyranthes
Achyranthes-type,achyranthes_type
Achyranthes-type (A. aspera),achyranthes_type_a_aspera
Achyranthes-type aspera,achyranthes_type_aspera
Achyranthes aspera,achyranthes_aspera
Achyranthes aspera-type,achyranthes_aspera_type
Aciotis,aciotis
Aciphylla,aciphylla
Aciphylla-type,aciphylla_type
Aciphylla squarrosa-type,aciphylla_squarrosa_type
Acmena,acmena
Acnistus,acnistus
Aconitum,aconitum
Aconitum-type,aconitum_type
Aconitum (excluding A. napellus),aconitum_excluding_a_napellus
Aconitum group,aconitum_group
Aconitum lycoctonum subsp. septentrionale,aconitum_lycoctonum_subsp_septentrionale
Aconitum napellus-type,aconitum_napellus_type
Acorus,acorus
Acorus calamus,acorus_calamus
Acradenia frankliniae-type,acradenia_frankliniae_type
Acridocarpus,acridocarpus
Acrisione,acrisione
Acronychia,acronychia
Acronychia comp.,acronychia_comp
Actaea,actaea
Actaea-type,actaea_type
Actaea rubra,actaea_rubra
Actaea spicata,actaea_spicata
Actinostemon,actinostemon
Actinostemon concolor,actinostemon_concolor
Actinostemon/Euphorbia,actinostemon_euphorbia
Adansonia,adansonia
Adansonia digitata,adansonia_digitata
Adelobotrys,adelobotrys
Adelobotrys-type,adelobotrys_type
Adenanthera,adenanthera
Adenia,adenia
Adenia-type,adenia_type
Adenia lobata-type,adenia_lobata_type
Adenia venenata-type,adenia_venenata_type
Adenium,adenium
Adenium-type obesum,adenium_type_obesum
Adenopeltis,adenopeltis
Adenophora,adenophora
Adenorandia-type (A. kalbreyeri),adenorandia_type_a_kalbreyeri
Adenostoma,adenostoma
Adenostoma fasciculatum,adenostoma_fasciculatum
Adenostoma sparsifolium,adenostoma_sparsifolium
Adenostyles,adenostyles
Adenostyles alliariae,adenostyles_alliariae
Adesmia,adesmia
Adina,adina
Adina-type,adina_type
Adiscanthus,adiscanthus
Adonis,adonis
Adonis-type,adonis_type
Adonis aestivalis,adonis_aestivalis
Adonis aestivalis-type,adonis_aestivalis_type
Adonis annua-type,adonis_annua_type
Adonis vernalis,adonis_vernalis
Adoxa,adoxa
Adoxa moschatellina,adoxa_moschatellina
Adriana,adriana
Adriana cf. A. hookeri,adriana_cf_a_hookeri
Adriana cf. A. klotzschii,adriana_cf_a_klotzschii
Aechmea,aechmea
Aegiceras,aegiceras
Aegilops,aegilops
Aegiphila,aegiphila
Aegiphila-type,aegiphila_type
Aegle marmelos,aegle_marmelos
Aegopodium podagraria,aegopodium_podagraria
Aerva,aerva
Aerva-type,aerva_type
Aerva-type (A. javanica),aerva_type_a_javanica
Aerva-type (A. lanata),aerva_type_a_lanata
Aerva-type javanica,aerva_type_javanica
Aerva-type lanata,aerva_type_lanata
Aerva javanica,aerva_javanica
Aerva javanica-type,aerva_javanica_type
Aerva lanata,aerva_lanata
Aerva lanata-type,aerva_lanata_type
Aeschynomene,aeschynomene
Aeschynomene-type,aeschynomene_type
Aeschynomene-type (A. baumii),aeschynomene_type_a_baumii
Aeschynomene-type baumii,aeschynomene_type_baumii
Aeschynomene-type elaphroxylon,aeschynomene_type_elaphroxylon
Aeschynomene afraspera-type,aeschynomene_afraspera_type
